objectid;tipcalle;nomcalle;velocidad;st_length_shape;geo_shape;geo_point_2d
8249;C/;VICENT BLASCO GARCIA;30;47.51191530553152;"{""coordinates"": [[-0.41009757945084657, 39.471572255510296], [-0.4100693587264518, 39.47199954657351]], ""type"": ""LineString""}";39.4717859010419, -0.4100834690886492
8254;C/;VINATEA;Peatonal;17.681377301717124;"{""coordinates"": [[-0.3810104070582857, 39.47243374571076], [-0.38097011923145374, 39.47236527173865], [-0.3809448555148238, 39.47228362315518]], ""type"": ""LineString""}";39.472360607846994, -0.380973276939391
8256;C/;BONAIRE;Peatonal;26.488183101149083;"{""coordinates"": [[-0.3715826738665924, 39.47230193530461], [-0.3716502752464824, 39.472069235796376]], ""type"": ""LineString""}";39.47218558555049, -0.3716164745565374
8257;C/;NAU;Peatonal;42.54134018810409;"{""coordinates"": [[-0.3721340632218091, 39.47214774271982], [-0.3716502752464824, 39.472069235796376]], ""type"": ""LineString""}";39.4721084892581, -0.37189216923414575
8260;C/;GENERAL GIL DOLZ;50;113.00284786676839;"{""coordinates"": [[-0.36268385229701494, 39.47184354362436], [-0.36155834560626043, 39.472367521462054]], ""type"": ""LineString""}";39.47210553254321, -0.3621210989516377
8459;C/;MALDONADO;30;12.124266740714672;"{""coordinates"": [[-0.38072363088339334, 39.472796634155884], [-0.3807975815570721, 39.47270370852486]], ""type"": ""LineString""}";39.47275017134037, -0.3807606062202327
8465;PL;MERCÉ;Peatonal;24.804704715033395;"{""coordinates"": [[-0.3779613798183489, 39.47262622753252], [-0.3779080800576992, 39.47284574042435]], ""type"": ""LineString""}";39.47273598397844, -0.377934729938024
8568;AV;CARDENAL BENLLOCH;50;151.06036986913543;"{""coordinates"": [[-0.35434106711352703, 39.47149622720856], [-0.35372683042165914, 39.472770485741094]], ""type"": ""LineString""}";39.47213335647483, -0.35403394876759303
8569;PG;PETXINA;30;81.95532648949671;"{""coordinates"": [[-0.4058049868206186, 39.473091219086776], [-0.4067422178876199, 39.47296066274574]], ""type"": ""LineString""}";39.47302594091626, -0.40627360235411925
8571;C/;LITERAT GABRIEL MIRÓ;30;57.63919647253942;"{""coordinates"": [[-0.3889003778541322, 39.47275545106144], [-0.3894886734834616, 39.47250742133028]], ""type"": ""LineString""}";39.472631436195854, -0.3891945256687969
8573;C/;SANT VICENT DE PAÜL;30;17.062006974561932;"{""coordinates"": [[-0.36927803528845393, 39.491621945373694], [-0.36914277354587066, 39.49173429409954]], ""type"": ""LineString""}";39.49167811973662, -0.3692104044171623
8575;PL;MARIÀ BENLLIURE;Peatonal;79.91614972276417;"{""coordinates"": [[-0.3760474589245946, 39.47219114527108], [-0.3760682474015459, 39.47229521579815], [-0.376228612047202, 39.472744771931254], [-0.37628650156296317, 39.47288571525451]], ""type"": ""LineString""}";39.47254120837063, -0.37615796356407427
9089;C/;DOCTOR JOSEP JUAN DÒMINE;30;23.796253171455373;"{""coordinates"": [[-0.32948608606197805, 39.46261030151913], [-0.3295819876287022, 39.46281127408305]], ""type"": ""LineString""}";39.462710787801086, -0.3295340368453401
9093;AV;ARAGÓ;50;132.14311574188707;"{""coordinates"": [[-0.35659582869802015, 39.47359252828547], [-0.3563068072327849, 39.47420304483494], [-0.3560682577362988, 39.47471000906349]], ""type"": ""LineString""}";39.47415111581544, -0.3563317193455017
9208;AV;JOAN XXIII;30;12.710833882951976;"{""coordinates"": [[-0.38312860864699766, 39.49324420491808], [-0.38327255489999246, 39.493218465495694]], ""type"": ""LineString""}";39.493231335206886, -0.38320058177349503
9210;AV;JOAN XXIII;50;250.63019732266903;"{""coordinates"": [[-0.38409235199651065, 39.49528997132032], [-0.38488582564603485, 39.497461551890865]], ""type"": ""LineString""}";39.49637576160559, -0.38448908882127275
9212;AV;JOAN XXIII;50;66.25288861627091;"{""coordinates"": [[-0.3838953138556567, 39.49533668693953], [-0.38411027517300367, 39.49590957509232]], ""type"": ""LineString""}";39.495623131015925, -0.38400279451433017
